ort,plz,landkreis,bundesland,lat,lon
Rietberg,33397,Kreis Gütersloh,Nordrhein-Westfalen,51.8074106,8.4286614
Rietheim-Weilheim,78604,Landkreis Tuttlingen,Baden-Württemberg,48.0319324,8.7756098
Riethnordhausen,99195,Landkreis Sömmerda,Thüringen,51.0845525,11.0026999
Rietschen - Rěčicy,02956,Landkreis Görlitz,Sachsen,51.3963197,14.7859798
Rietz-Neuendorf,15848,Landkreis Oder-Spree,Brandenburg,52.2290504,14.1736362
Rietzneuendorf-Staakow,15910,Landkreis Dahme-Spreewald,Brandenburg,52.0280192,13.6938395
Rimbach,64668,Kreis Bergstraße,Hessen,49.616,8.7698
Rimbach,84326,Landkreis Rottal-Inn,Bayern,48.4651371,12.6612237
Rimbach,93485,Landkreis Cham,Bayern,49.2282346,12.8844649
Rimpar,97222,Landkreis Würzburg,Bayern,49.863212450000006,9.956123798422336
Rimsberg,55765,Landkreis Birkenfeld,Rheinland-Pfalz,49.6568566,7.2105432
Rimsting,83253,Landkreis Rosenheim,Bayern,47.8780488,12.3369294
Rinchnach,94269,Landkreis Regen,Bayern,48.949593,13.1999249
Ringe,49824,Landkreis Grafschaft Bentheim,Niedersachsen,52.6007381,6.9184353
Ringelai,94160,Landkreis Freyung-Grafenau,Bayern,48.8130178,13.4718676
Ringgau,37296,Werra-Meißner-Kreis,Hessen,51.0841794,10.0694213
Ringleben,99189,Landkreis Sömmerda,Thüringen,51.1049599,10.953547
Ringsberg,24977,Kreis Schleswig-Flensburg,Schleswig-Holstein,54.8074103,9.5989184
Ringsheim,77975,Ortenaukreis,Baden-Württemberg,48.2478113,7.7796365
Rinnthal,76857,Landkreis Südliche Weinstraße,Rheinland-Pfalz,49.2180664,7.9263693
Rinteln,31737,Landkreis Schaumburg,Niedersachsen,52.1873798,9.0804584
Rinzenberg,55767,Landkreis Birkenfeld,Rheinland-Pfalz,49.6762193,7.1313789
Riol,54340,Landkreis Trier-Saarburg,Rheinland-Pfalz,49.7933999,6.7922
Rippershausen,98639,Landkreis Schmalkalden-Meiningen,Thüringen,50.6052745,10.3495124
Risum-Lindholm,25920,Kreis Nordfriesland,Schleswig-Holstein,54.7591797,8.8697526
Ritschenhausen,98617,Landkreis Schmalkalden-Meiningen,Thüringen,50.5110356,10.4313352
Ritterhude,27721,Landkreis Osterholz,Niedersachsen,53.1886097,8.7521428
Rittersdorf,54636,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,49.9974654,6.4969102
Rittersdorf,99448,Landkreis Weimarer Land,Thüringen,50.8191693,11.2345224
Rittersheim,67294,Donnersbergkreis,Rheinland-Pfalz,49.66841,8.0592827
Ritzerau,23896,Kreis Herzogtum Lauenburg,Schleswig-Holstein,53.6630595,10.5661112
Ritzerow,17153,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,53.660948,12.9648588
Rivenich,54518,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz,49.876354,6.8462387
Riveris,54317,Landkreis Trier-Saarburg,Rheinland-Pfalz,49.7263094,6.7638136
Röbel/Müritz,17207,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,53.3768182,12.6059705
Rochau,39579,Landkreis Stendal,Sachsen-Anhalt,52.7073352,11.744181
Rochlitz,09306,Landkreis Mittelsachsen,Sachsen,51.0456789,12.7990531
Rockenberg,35519,Wetteraukreis,Hessen,50.4301053,8.7371043
Rockenhausen,67806,Donnersbergkreis,Rheinland-Pfalz,49.6290332,7.8206451
Rockeskyll,54570,Landkreis Vulkaneifel,Rheinland-Pfalz,50.2538769,6.6966757
Röckingen,91740,Landkreis Ansbach,Bayern,49.0562745,10.5598075
Rockstedt,99713,Kyffhäuserkreis,Thüringen,51.2848306,10.7614976
Röckwitz,17091,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,53.707767,13.1010641
Rodalben,66976,Landkreis Südwestpfalz,Rheinland-Pfalz,49.2384912,7.6392258
Rodder,53520,Landkreis Ahrweiler,Rheinland-Pfalz,50.3947988,6.8593524
Rodeberg,99976,Unstrut-Hainich-Kreis,Thüringen,51.20973345,10.326543524007683
Rödelhausen,56858,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,49.9939866,7.3290319
Rödelmaier,97618,Landkreis Rhön-Grabfeld,Bayern,50.3205852,10.2780178
Rödelsee,97348,Landkreis Kitzingen,Bayern,49.7283946,10.2463707
Roden,97849,Landkreis Main-Spessart,Bayern,49.8957909,9.6264933
Rodenäs,25924,Kreis Nordfriesland,Schleswig-Holstein,54.8835649,8.6998676
Rodenbach,67688,Landkreis Kaiserslautern,Rheinland-Pfalz,49.4740942,7.6568955
Rodenbach,63517,Main-Kinzig-Kreis,Hessen,50.1428787,9.0406519
Rodenbach bei Puderbach,57639,Landkreis Neuwied,Rheinland-Pfalz,50.6380683,7.6490025
Rodenbek,24247,Kreis Rendsburg-Eckernförde,Schleswig-Holstein,54.2756036,10.0190938
Rodenberg,31552,Landkreis Schaumburg,Niedersachsen,52.3129195,9.3584245
Rödental,96472,Landkreis Coburg,Bayern,50.2971914,11.0428276
Röderaue,01609,Landkreis Meißen,Sachsen,51.3879818,13.4644419
Röderland,04932,Landkreis Elbe-Elster,Brandenburg,51.45452815,13.447786289831814
Rödermark,63322,Landkreis Offenbach,Hessen,49.9798913,8.8088274
Rödern,55481,Rhein-Hunsrück-Kreis,Rheinland-Pfalz,49.946509,7.4482138
Rodershausen,54673,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,49.9920793,6.1957886
Rödersheim-Gronau,67127,Rhein-Pfalz-Kreis,Rheinland-Pfalz,49.4299651,8.2659966
Rodewald,31637,Landkreis Nienburg/Weser,Niedersachsen,52.6627327,9.4830162
Rodewisch,08228,Vogtlandkreis,Sachsen,50.5308866,12.4047996
Rodgau,63110,Landkreis Offenbach,Hessen,50.0176771,8.8853392
Roding,93426,Landkreis Cham,Bayern,49.1964174,12.5166987
Rödinghausen,32289,Kreis Herford,Nordrhein-Westfalen,52.2531613,8.4817274
Roduchelstorf,23923,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern,53.8202096,10.9825271
Roes,56754,Landkreis Cochem-Zell,Rheinland-Pfalz,50.2427211,7.25653
